***** AT90S4434-A
***** AT90S8535-A
13 (PCINT28/XCK1/OC1B)PD4
14 (PCINT294/OC1A)PD5
15 (PCINT30/OC2B/ICP)PD6
16 (PCINT31/OC2A)PD7

4o RESET

29 AREF
27 AVCC
6 GND
18 GND
28 GND
39 GND
17 VCC
38 VCC
5 VCC
***** ATMEGA1284-P
***** ATMEGA164A-P
40 (PCINT0/ADC0)PA0
39 (PCINT1/ADC1)PA1
38 (PCINT2/ADC2)PA2
37 (PCINT3/ADC3)PA3
36 (PCINT4/ADC4)PA4
35 (PCINT5/ADC5)PA5
34 (PCINT6/ADC6)PA6
33 (PCINT7/ADC7)PA7

1 (PCINT8/T0/XCK)PB0
2 (PCINT9/CLKO/T1)PB1
3 (PCINT10/AIN0/INT2)PB2
4 (PCINT11/AIN1/OC0)PB3
5 (PCINT12/OC0B/SS)PB4
6 (PCINT13/MOSI)PB5
7 (PCINT14/MISO)PB6
8 (PCINT15/SCK)PB7

12 XTAL2
13 XTAL1
---






























---
22 (PCINT16/SCL)PC0
23 (PCINT17/SDA)PC1
