***** AT90S4434-A
***** AT90S8535-A
11 PD6

1o RESET

10 GND
20 VCC
***** AT90S2313-P
12 (AIN0)PB0
13 (AIN1)PB1
14 PB2
15 (OC1)PB3
16 PB4
17 (MOSI)PB5
18 (MISO)PB6
19 (SCK)PB7

4 XTAL2
5 XTAL1
---












---
2 (RXD)PD0
3 (TXD)PD1
6 (INT0)PD2
7 (INT1)PD3
8 (T0)PD4
9 (T1)PD5
11 (ICP)PD6

1o RESET

10 GND
20 VCC
***** AT90S2313-S
12 (AIN0)PB0
13 (AIN1)PB1
14 PB2
15 (OC1)PB3
16 PB4
17 (MOSI)PB5
18 (MISO)PB6
19 (SCK)PB7

4 XTAL2
5 XTAL1
---












---
2 (RXD)PD0
3 (TXD)PD1
6 (INT0)PD2
7 (INT1)PD3
8 (T0)PD4
9 (T1)PD5
11 (ICP)PD6

1o RESET

10 GND
20 VCC
***** AT90S2323-P
5 (MOSI)PB0
6 (INT0/MISO)PB1
7 (SCK/T0)PB2

1o RESET
---













---
2 XTAL1
3 XTAL2

4 GND
8 VCC
***** AT90S2323-S
5 (MOSI)PB0
6 (INT0/MISO)PB1
7 (SCK/T0)PB2

1o RESET
---













---
2 XTAL1
3 XTAL2

4 GND
8 VCC
***** AT90S2333-A
***** AT90S4433-A
30 (RXD)PD0
31 (TXD)PD1
32 (INT0)PD2
1 (INT1)PD3
2 (T0)PD4
9 (T1)PD5
10 (AIN0)PD6
11 (AIN1)PD7

7 XTAL1
8 XTAL2

29o RESET
---












---
23 (ADC0)PC0
24 (ADC1)PC1
25 (ADC2)PC2
26 (ADC3)PC3
27 (ADC4)PC4
28 (ADC5)PC5

12 (ICP)PB0
13 (OC1)PB1
14 (SS)PB2
15 (MOSI)PB3
16 (MISO)PB4
17 (SCK)PB5

21 AGND
20 AREF
18 AVCC
5 GND
4 VCC
***** AT90S2333-P
***** AT90S4433-P
2 (RXD)PD0
3 (TXD)PD1
4 (INT0)PD2
5 (INT1)PD3
6 (T0)PD4
11 (T1)PD5
12 (AIN0)PD6
13 (AIN1)PD7

9 XTAL1
10 XTAL2

1o RESET
---












---
23 (ADC0)PC0
24 (ADC1)PC1
25 (ADC2)PC2
26 (ADC3)PC3
27 (ADC4)PC4
28 (ADC5)PC5

14 (ICP)PB0
15 (OC1)PB1
16 (SS)PB2
17 (MOSI)PB3
18 (MISO)PB4
19 (SCK)PB5

22 AGND
21 AREF
20 AVCC
8 GND
7 VCC
***** AT90S2343-P
5 (MOSI)PB0
6 (INT0/MISO)PB1
7 (SCK/T0)PB2
2 (CLOCK)PB3
3 PB4
---










---
1o RESET

4 GND
8 VCC
***** AT90S2343-S
5 (MOSI)PB0
6 (INT0/MISO)PB1
7 (SCK/T0)PB2
2 (CLOCK)PB3
3 PB4
---










---
1o RESET

4 GND
8 VCC
***** AT90S4414-A
***** AT90S8515-A
37 (AD0)PA0
36 (AD1)PA1
35 (AD2)PA2
34 (AD3)PA3
33 (AD4)PA4
32 (AD5)PA5
31 (AD6)PA6
30 (AD7)PA7

5 (RXD)PD0
7 (TXD)PD1
8 (INT0)PD2
9 (INT1)PD3
10 PD4
11 (OC1A)PD5
12 (WR)PD6
13 (RD)PD7

26 OC1B
27 ALE
29 ICP

4o RESET
---












---
18 (A8)PC0
19 (A9)PC1
20 (A10)PC2
21 (A11)PC3
22 (A12)PC4
23 (A13)PC5
24 (A14)PC6
25 (A15)PC7

40 (T0)PB0
41 (T1)PB1
42 (AIN0)PB2
43 (AIN1)PB3
44 (SS)PB4
1 (MOSI)PB5
2 (MISO)PB6
3 (SCK)PB7

14 XTAL2
15 XTAL1

16 GND
38 VCC
***** AT90S4414-J
***** AT90S8515-J
43 (AD0)PA0
42 (AD1)PA1
41 (AD2)PA2
40 (AD3)PA3
39 (AD4)PA4
38 (AD5)PA5
37 (AD6)PA6
36 (AD7)PA7

11 (RXD)PD0
13 (TXD)PD1
14 (INT0)PD2
15 (INT1)PD3
16 PD4
17 (OC1A)PD5
18 (WR)PD6
19 (RD)PD7

32 OC1B
33 ALE
35 ICP

10o RESET
---












---
24 (A8)PC0
25 (A9)PC1
26 (A10)PC2
27 (A11)PC3
28 (A12)PC4
29 (A13)PC5
30 (A14)PC6
31 (A15)PC7

2 (T0)PB0
3 (T1)PB1
4 (AIN0)PB2
5 (AIN1)PB3
6 (SS)PB4
7 (MOSI)PB5
8 (MISO)PB6
9 (SCK)PB7

20 XTAL2
21 XTAL1

22 GND
44 VCC
***** AT90S4434-J
***** AT90S8535-J
43 (ADC0)PA0
42 (ADC1)PA1
41 (ADC2)PA2
40 (ADC3)PA3
39 (ADC4)PA4
38 (ADC5)PA5
37 (ADC6)PA6
36 (ADC7)PA7

2 (T0)PB0
3 (T1)PB1
4 (AIN0)PB2
5 (AIN1)PB3
6 (SS)PB4
7 (MOSI)PB5
8 (MISO)PB6
9 (SCK)PB7

13 XTAL2
14 XTAL1
---













---
25 PC0
26 PC1
27 PC2
28 PC3
29 PC4
30 PC5
31 (TOSC1)PC6
32 (TOSC2)PC7

15 (RXD)PD0
16 (TXD)PD1
17 (INT0)PD2
18 (INT1)PD3
19 (OC1B)PD4
20 (OC1A)PD5
21 (ICP)PD6
22 (OC2)PD7

10o RESET

34 AGND
35 AREF
33 AVCC
12 GND
1 GND
24 GND
23 VCC
11 VCC
44 VCC
***** AT90S4434-M
***** AT90S8535-M
37 (ADC0)PA0
36 (ADC1)PA1
35 (ADC2)PA2
34 (ADC3)PA3
33 (ADC4)PA4
32 (ADC5)PA5
31 (ADC6)PA6
30 (ADC7)PA7

40 (T0)PB0
41 (T1)PB1
42 (AIN0)PB2
43 (AIN1)PB3
44 (SS)PB4
1 (MOSI)PB5
2 (MISO)PB6
3 (SCK)PB7

7 XTAL2
8 XTAL1
---













---
19 PC0
20 PC1
21 PC2
22 PC3
23 PC4
24 PC5
25 (TOSC1)PC6
26 (TOSC2)PC7

9 (RXD)PD0
10 (TXD)PD1
11 (INT0)PD2
12 (INT1)PD3
13 (OC1B)PD4
14 (OC1A)PD5
15 (ICP)PD6
16 (OC2)PD7

4o RESET

28 AGND
29 AREF
27 AVCC
18 GND
6 GND
39 GND
17 VCC
38 VCC
5 VCC
***** AT90S4434-P
***** AT90S8535-P
40 (ADC0)PA0
39 (ADC1)PA1
38 (ADC2)PA2
37 (ADC3)PA3
36 (ADC4)PA4
35 (ADC5)PA5
34 (ADC6)PA6
33 (ADC7)PA7

1 (T0)PB0
2 (T1)PB1
3 (AIN0)PB2
4 (AIN1)PB3
5 (SS)PB4
6 (MOSI)PB5
7 (MISO)PB6
8 (SCK)PB7

12 XTAL2
13 XTAL1
---













---
22 PC0
23 PC1
24 PC2
25 PC3
26 PC4
27 PC5
28 (TOSC1)PC6
29 (TOSC2)PC7

14 (RXD)PD0
15 (TXD)PD1
16 (INT0)PD2
17 (INT1)PD3
18 (OC1B)PD4
19 (OC1A)PD5
20 (ICP)PD6
21 (OC2)PD7

9o RESET

31 AGND
32 AREF
30 AVCC
11 GND
10 VCC
***** AT90USB162-A
14 (SS/PCINT0)PB0
15 (SCLK/PCINT1)PB1
16 (PDI/MOSI/PCINT2)PB2
17 (PDO/MISO/PCINT3)PB3
18 (T1/PCINT4)PB4
19 (PCINT5)PB5
20 (PCINT6)PB6
21 (OC0A/OC1C/PCINT7)PB7

2 XTAL2(PC0)
24o RESET(PC1/dW)
5 (PCINT11)PC2
26 (PCINT10)PC4
25 (OC1B/PCINT9)PC5
23 (OC1A/PCINT8)PC6
22 (ICP1/CLKO/INT4)PC7
---






























---
6 (OC0B/INT0)PD0
7 (AIN0/INT1)PD1
8 (RXD1/AIN1/INT2)PD2
9 (TXD1/INT3)PD3
10 (INT5)PD4
11 (XCK/PCINT12)PD5
12 (RTS/INT6)PD6
